No,Number Per One Dimension,Gender,Size,Width of shoulders,Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Vertical distance between Chair and the ground,Horizational Distance (CM),Horizontal distance between eyes and head posture device,Shoulder Posture ,Head Posture,Sensor 1,Sensor 2 ,Sensor 3,Sensor 4
1,1,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),575,450,593,475
2,2,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),570,454,595,471
3,3,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),573,446,591,475
4,4,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),578,447,589,476
5,5,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),581,442,591,469
6,6,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),577,431,590,475
7,7,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),577,443,592,480
8,8,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),571,446,591,475
9,9,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),580,449,597,475
10,10,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),577,437,594,476
11,11,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),579,445,599,474
12,12,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),580,454,598,475
13,13,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),579,445,597,473
14,14,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),581,450,605,473
15,15,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),577,452,595,475
16,16,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),586,438,599,472
17,17,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),572,439,604,480
18,18,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),581,455,603,483
19,19,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),575,447,608,486
20,20,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),579,442,607,482
21,21,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),580,446,608,480
22,22,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),585,448,614,475
23,23,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),578,448,606,488
24,24,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),581,456,609,480
25,25,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),581,456,611,485
26,26,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),576,445,601,483
27,27,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),579,449,603,480
28,28,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),588,453,601,480
29,29,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),579,449,604,480
30,30,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),586,453,515,484
31,31,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),586,464,475,456
32,32,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),587,447,520,481
33,33,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),587,443,581,487
34,34,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),581,456,596,495
35,35,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),578,445,602,487
36,36,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),582,454,596,487
37,37,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),577,436,595,486
38,38,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),586,448,606,489
39,39,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),579,455,596,486
40,40,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),583,448,596,488
41,41,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),580,452,599,484
42,42,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),577,454,602,483
43,43,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),586,447,596,484
44,44,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),588,446,606,483
45,45,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),579,460,599,481
46,46,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),577,440,602,480
47,47,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),584,437,596,480
48,48,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),584,453,598,478
49,49,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),587,452,602,484
50,50,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),579,453,599,488
51,51,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),589,443,603,489
52,52,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),588,449,604,491
53,53,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),583,446,598,488
54,54,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),585,443,603,493
55,55,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),577,461,611,487
56,56,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),585,455,606,490
57,57,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),584,454,607,490
58,58,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),581,448,605,490
59,59,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),582,457,602,487
60,60,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Extreme),586,453,606,482
61,1,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),635,481,624,538
62,2,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),633,472,625,537
63,3,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),626,478,625,543
64,4,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),626,475,623,536
65,5,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),625,474,631,532
66,6,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),618,472,631,526
67,7,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),631,481,635,538
68,8,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),622,468,629,537
69,9,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),617,483,635,542
70,10,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),624,476,629,539
71,11,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),631,482,631,532
72,12,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),621,478,631,529
73,13,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),626,467,629,543
74,14,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),628,480,631,541
75,15,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),626,488,626,538
76,16,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),623,472,627,537
77,17,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),630,485,629,541
78,18,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),618,472,634,535
79,19,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),625,498,626,534
80,20,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),629,478,634,533
81,21,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),628,481,635,534
82,22,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),627,472,625,533
83,23,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),624,472,630,540
84,24,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),629,479,634,540
85,25,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),626,482,637,545
86,26,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),629,478,630,534
87,27,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),627,474,629,537
88,28,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),620,482,620,537
89,29,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),621,490,627,534
90,30,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),632,463,626,545
91,31,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),631,477,621,543
92,32,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),627,479,631,533
93,33,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),631,484,630,537
94,34,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),633,473,623,527
95,35,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),623,480,629,533
96,36,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),634,483,634,530
97,37,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),633,479,632,539
98,38,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),627,477,627,542
99,39,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),627,472,631,544
100,40,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),629,477,620,530
101,41,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),628,473,629,535
102,42,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),632,473,634,538
103,43,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),632,489,624,535
104,44,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),632,469,632,537
105,45,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),626,479,625,534
106,46,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),623,482,626,546
107,47,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),636,477,632,540
108,48,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),631,479,624,534
109,49,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),639,464,628,541
110,50,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),627,473,626,531
111,51,Male,M,43,35,34,49,48,48,65,69,Round Shoulder,Poking Chin (Acceptable),627,480,635,537
